"REGION","EA_SVC_A","EA_SVC_B","EA_SVC_C","EA_SVC_D","EA_FAC_A","EA_FAC_B","EA_FAC_C","EA_FAC_D","EA_FAC_E","EA_FAC_F","EA_FAC_G","EA_SEC_A","EA_SEC_B","EA_SEC_C","EA_SEC_D","EA_SEC_E","Q87C","URBRUR_COND","AGE_COND","EDUC_COND","RELIG_COND","LivedPoverty"
"West Africa",1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,2,1,0.6
"West Africa",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0
"West Africa",1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,2,1,0
"West Africa",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0.2
"West Africa",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,0,3,1
"West Africa",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,2,4
"West Africa",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,2,1.8
"West Africa",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,2.8
"West Africa",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,2,0,2,1
"West Africa",1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,2,2,2,0
"West Africa",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,2,2.2
"West Africa",1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,2,2,2,0.6
"West Africa",1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,2,2,2,0
"West Africa",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"West Africa",0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,3,0,2,2
"West Africa",1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,2,2,1,1.8
"West Africa",0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,2,1,2.4
"West Africa",0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,2,0,1,2,1,1.4
"West Africa",1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,5,3,1,0.6
"West Africa",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2,0.2
"West Africa",1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,3,3,1,0
"West Africa",1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,2,3,1.2
"West Africa",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0
"West Africa",1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,2,2,1,0.2
"West Africa",0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,2,0,1,2
"West Africa",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0
"West Africa",1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,3,1,2,0.4
"West Africa",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,3,1,1,1
"West Africa",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,2,1,0
"West Africa",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0.4
"West Africa",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,2,1,3,2,1,0.6
"West Africa",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,2,1,2
"West Africa",1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,2,1,0
"West Africa",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,2,3,1,0
"West Africa",0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,3,0,1,1.8
"West Africa",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,2,0,1,1
"West Africa",0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,4,0,2,2.8
"West Africa",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,3,2,1,0.2
"West Africa",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,4,0,1,0.6
"West Africa",1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,3,3,2,0
"West Africa",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0.4
"West Africa",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,1
"West Africa",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,6,2,1,0
"West Africa",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,2,2,1,0
"West Africa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,1,1.6
"West Africa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1.2
"West Africa",1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,3,2,1,0
"West Africa",1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,2,3,1,0
"West Africa",1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,3,0,4,2,1,1.6
"West Africa",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,4,3,3,0.6
"West Africa",1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,2,2,0.6
"West Africa",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,2,1,1,0.2
"West Africa",1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,2,2,1.6
"West Africa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,1.2
"West Africa",0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,6,0,1,3
"West Africa",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,2,1,0.6
"West Africa",1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,3,1,1,0,1,0
"West Africa",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,4,1,1,0
"West Africa",1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,6,2,1,0.8
"West Africa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,1,3.4
"West Africa",1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0.6
"West Africa",1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,2,1,1
"West Africa",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,3,1,3,1,2,0
"West Africa",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,4,0,1,0.6
"West Africa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0.8
"West Africa",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,2,1,1,0
"West Africa",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,5,2,1,0.2
"West Africa",1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,2,1,0
"West Africa",0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,3,2,1.6
"West Africa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0.8
"West Africa",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,3,0.2
"West Africa",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,3,3,1,0.6
"West Africa",1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,3,1,1,1.2
"West Africa",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1
"West Africa",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,3,1,1,2,1,0
"West Africa",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0.8
"West Africa",1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,2,1,0.6
"West Africa",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,6,3,1,0
"West Africa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0.8
"West Africa",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,3,3,1,0.8
"West Africa",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,2,3,1,1.2
"West Africa",1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1
"West Africa",1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,6,1,1,3.4
"West Africa",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,5,3,2,0.4
"West Africa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0.8
"West Africa",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,5,1,1,0.2
"West Africa",1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,2,2,1,0
"West Africa",1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,3,1,0
"West Africa",1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,4,2,3,0.2
"West Africa",1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,2,0,3,3,1,0
"West Africa",1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,3,0,1,1.2
"West Africa",1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,2,1,1,0.2
"West Africa",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,2,1,1,0
"West Africa",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,2,1,1,0.8
"West Africa",1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,4,1,1,1.6
"West Africa",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,4,1,1,0
"West Africa",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,3,3,0.4
"West Africa",1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,3,0,1,3,1,0
"West Africa",1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,2,1,0.2
"West Africa",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,5,1,1,1
"West Africa",1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,2,1,1,0.4
"West Africa",1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,2,3,1,0
"West Africa",1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,2,2,0
"West Africa",1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1,3,2,3,0
"West Africa",1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1,3,2,1,2.8
"West Africa",1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1,2,2,2,0
"West Africa",0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,1,2,2.4
"West Africa",0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1.2
"West Africa",1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1,2,2,1,0.6
"West Africa",0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,4,1,3,0.4
"West Africa",0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,6,2,1,0.2
"West Africa",0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0.4
"West Africa",0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0,1,0.4
"West Africa",0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,1,1,1.2
"West Africa",0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,2,1,0
"West Africa",1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,2,1,0.6
"West Africa",1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,4,1,1,0.6
"West Africa",1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,4,0,1,0.4
"West Africa",1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,3,1,1,0.4
"West Africa",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,1,2.2
"West Africa",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,0
"West Africa",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1
"West Africa",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1.8
"West Africa",1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1,2,2,1,0
"West Africa",1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,4,2,1,0.8
"West Africa",1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,5,1,1,0
"West Africa",1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1,3,0,1,2
"West Africa",1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,2,1,0.6
"West Africa",1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,5,1,1,0.6
"West Africa",1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,6,1,1,1.4
"West Africa",1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,4,2,1,2
"West Africa",1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,0,2,0.2
"West Africa",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,1,1.4
"West Africa",1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,2,2,0.6
"West Africa",1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,0,2,1
"West Africa",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,1,0
"West Africa",1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,2,1,0.8
"West Africa",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1.2
"West Africa",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2,1,2.4
"West Africa",1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,3,1,0.4
"West Africa",1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,2,1,0.8
"West Africa",1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,3,0,3,2,1,0.2
"West Africa",1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,2,1,1,0
"West Africa",1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,2,1,1,1
"West Africa",1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,3,1,1,3,2,0
"West Africa",1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,4,1,3,0
"West Africa",1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,3,2,1,0.6
"West Africa",1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,2,1,1,0.6
"West Africa",1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,6,0,1,0
"West Africa",1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,2,2,1,0.6
"West Africa",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1.2
"West Africa",1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,3,2,1,0.2
"West Africa",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0.2
"West Africa",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,1,1
"West Africa",1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,2,2,2,0
"West Africa",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,3,2
"West Africa",1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,2,2,2,1.2
"West Africa",1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,3,3,1.6
"West Africa",1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,3,1,2,3,1,0
"West Africa",1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,2,1,2
"West Africa",1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,2,1,2,2,2,0.6
"West Africa",1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,6,0,1,0.4
"West Africa",1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,1,4,3,1,0
"West Africa",1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,2,1,0.4
"West Africa",1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,2,2,3,1
"West Africa",1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,4,1,1,0.2
"West Africa",1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,1,6,1,3,0.6
"West Africa",1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0,1,0.2
"West Africa",1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,3,1,2,1,1,0.6
"West Africa",1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,2,2,1,1.8
"West Africa",1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,1,2,1,1,1.4
"West Africa",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,3.2
"West Africa",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,1,3
"West Africa",1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,4,2,2,0.4
"West Africa",1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,2,1,0
"West Africa",1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,3,2,3,0
"West Africa",1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,2,0,2,0.8
"West Africa",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,0.6
"West Africa",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,3,0.8
"West Africa",1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,6,0,1,0.8
"West Africa",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2,1,0
"West Africa",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1
"West Africa",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2,1,0
"West Africa",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,0.8
"West Africa",1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,3,1,0.4
"West Africa",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0.2
"West Africa",1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0
"West Africa",1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,6,1,1,0.4
"West Africa",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,1,0
"West Africa",1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,2,1,1,2
"West Africa",1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,6,2,1,0.4
"West Africa",1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,5,1,1,1,1,1.6
"West Africa",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,1.2
"West Africa",1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,2,2,0
"West Africa",1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,4,0,2,0.8
"West Africa",1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,2,2,0
"West Africa",1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,4,2,1,0
"West Africa",1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,3,1,2,1.8
"West Africa",1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,3,1,1,2,2,0.2
"West Africa",1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,2,3,2,1.4
"West Africa",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1
"West Africa",1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,2,1,3,2,1,0
"West Africa",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,0.8
"West Africa",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0
"West Africa",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5,0,1,2
"West Africa",1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,1,2,1,1,0.4
"West Africa",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,1,3.2
"West Africa",1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,3,0,2,3
"West Africa",1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,2,2,0
"West Africa",1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0.2
"West Africa",1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,1,2,2,1,1.2
"West Africa",1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,3,0,1,0
"West Africa",1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,4,1,1,0
"West Africa",1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,2,2,2,0.4
"West Africa",1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,5,1,1,2,2,0
"West Africa",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,2,0.2
"West Africa",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5,0,1,1,1,3.4
"West Africa",1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,3,1,3,1,1,0.2
"West Africa",1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,3,2,3,0
"West Africa",1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,3,1,1,2,1,0.8
"West Africa",1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,3,2,1,0.2
"West Africa",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,0.8
"West Africa",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,1,0
"West Africa",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,3,1,2,0
"West Africa",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0.2
"West Africa",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,2,2,0
"West Africa",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,2,1,0.4
"West Africa",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0
"West Africa",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,5,1,1,0
"West Africa",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,6,3,1,0.2
"West Africa",1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,2,2,2,0.2
"West Africa",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,4,1,1,1.8
"West Africa",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,3,1,1,0.4
"West Africa",1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,3,2,1,0.2
"West Africa",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,2,2,1,0
"West Africa",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,2,3,1,0
"West Africa",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,2,3,1,1.6
"West Africa",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,4,2,1,0
"West Africa",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,4,2,1,2.2
"West Africa",1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,1,5,2,3,0.2
"West Africa",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,3,2,1,0.4
"West Africa",1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,1,4,1,1,0.2
"West Africa",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,2,1,0
"West Africa",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,5,2,1,0.2
"West Africa",1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,1,2,2,1,1.4
"West Africa",1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,1,3,2,1,0
"West Africa",1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,6,3,1,0
"West Africa",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,5,3,1,0.2
"West Africa",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,2,2,3,1.8
"West Africa",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,2,1,2.8
"West Africa",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,4,0,1,1
"West Africa",1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,4,0,2,1.4
"West Africa",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,0.2
"West Africa",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0.4
"West Africa",1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,2,1,0.4
"West Africa",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,1
"West Africa",1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,3,0,2,0.6
"West Africa",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,0.4
"West Africa",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,2,1,1,0.4
"West Africa",1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,2,2,2,0.8
"West Africa",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,5,1,1,0
"West Africa",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,3,1,2,2,1,0.6
"West Africa",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,2,2,1,0.2
"West Africa",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,3,2,1,0
"West Africa",1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,1,1,2,1,0.6
"West Africa",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,2,1,0
"West Africa",1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,1,2,2,1,0.6
"West Africa",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,4,1,2,3,1,0
"West Africa",1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,1,1,2,1,0
